Dataset,Backbone,Train Accuracy,ZSL Accuracy,Num ZSL Classes,Attributes,,,,,,
AwA2,DeiT3Med,0.932336151599884,0.7394086122512817,0.824739933013916,48,24,17,10,using loss_mean_attr,,
AwA2,DeiT3Med,0.9209454655647278,0.7589913606643677,0.8321617841720581,48,24,17,10,using 2*loss_mean_attr,,
AwA2,DeiT3Med,0.928085446357727,0.7529758810997009,0.8314104676246643,48,24,16,10,using 2*loss_mean_attr,,
AwA2,DeiT3Med,0.9075142741203308,0.7825418710708618,0.8404075503349304,48,24,16,10,using 2*loss_mean_attr,,
AwA2,DeiT3Med,0.9294456839561462,0.7515679001808167,0.8310956358909607,48,24,17,10,using 2*loss_mean_attr,,
AwA2,DeiT3Med,0.8920437097549438,0.8103162050247192,0.8492181301116943,48,24,17,10,using 3*loss_mean_attr,,
AwA2,DeiT3Med,0.8680724501609802,0.790989339351654,0.8277401328086853,48,24,17,10,using 3*loss_mean_attr,,
AwA2,DeiT3Med,0.8823530077934265,0.8138999342918396,0.8467452526092529,48,24,16,10,using 3*loss_mean_attr,,
AwA2,DeiT3Med,0.8325400352478027,0.8003329634666443,0.8161188364028931,48,24,16,10,using 3*loss_mean_attr,,
AwA2,DeiT3Med,0.8888131380081177,0.7597593665122986,0.8192349672317505,48,24,17,10,using 4*loss_mean_attr,,
AwA2,DeiT3Med,0.8794631361961365,0.8096761703491211,0.8431280255317688,48,24,16,10,using 4*loss_mean_attr,,
AwA2,DeiT3Med,0.9109150171279907,0.8172277808189392,0.8615319132804871,48,24,16,10,using 4*loss_mean_attr,,
AwA2,DeiT3Med,0.9447466731071472,0.8021246194839478,0.8676135540008545,48,24,17,10,using 4*loss_mean_attr,,
AwA2,DeiT3Med,0.9025841951370239,0.6518622040748596,0.7570033073425293,48,24,17,10,using 5*loss_mean_attr,,
AwA2,DeiT3Med,0.8847330212593079,0.7637271285057068,0.8197888135910034,48,24,17,10,using 5*loss_mean_attr,,
AwA2,DeiT3Med,0.8701120615005493,0.7646231055259705,0.8139640092849731,48,24,15,10,using 5*loss_mean_attr,,
AwA2,DeiT3Med,0.8639921545982361,0.8195315599441528,0.841174840927124,48,24,17,10,using 5*loss_mean_attr,,
AwA2,DeiT3Med,0.9041138887405396,0.7383847236633301,0.8128882050514221,48,24,15,10,using 5*loss_mean_attr,,
AwA2,DeiT3Med,0.887962818145752,0.7714065909385681,0.8255911469459534,48,24,17,10,using 6*loss_mean_attr,,
AwA2,DeiT3Med,0.8828625679016113,0.7986688613891602,0.8386579155921936,48,24,16,10,using 6*loss_mean_attr,,
AwA2,DeiT3Med,0.8537907600402832,0.7734546065330505,0.8116395473480225,48,24,17,10,using 6*loss_mean_attr,,
AwA2,DeiT3Med,0.8891529440879822,0.7999487519264221,0.8421953320503235,48,24,16,10,using 6*loss_mean_attr,,
AwA2,DeiT3Med,0.8063584566116333,0.8435940146446228,0.8245560526847839,48,24,15,10,using 0 ft_weight,,
AwA2,DeiT3Med,0.800237774848938,0.8194035887718201,0.8097073435783386,48,24,16,10,using 0 ft_weight,,
AwA2,DeiT3Med,0.8027878999710083,0.8586970567703247,0.8298017978668213,48,24,15,10,using 0 ft_weight,,
AwA2,DeiT3Med,0.6916013360023499,0.8057084083557129,0.7443069219589233,48,24,16,10,using 0 ft_weight,,
AwA2,DeiT3Med,0.8400206565856934,0.8581849336624146,0.8490056395530701,48,24,16,10,using 0 ft_weight,,
AwA2,DeiT3Med,0.954437255859375,0.687955915927887,0.7995780110359192,48,24,17,10,using 2 ft_weight,,
AwA2,DeiT3Med,0.9007145166397095,0.8053244948387146,0.8503527641296387,48,24,16,10,using 2 ft_weight,,
AwA2,DeiT3Med,0.9105745553970337,0.7646231055259705,0.8312408328056335,48,24,16,10,using 2 ft_weight,,
AwA2,DeiT3Med,0.9071745276451111,0.7527198195457458,0.8227611184120178,48,24,16,10,using 2 ft_weight,,
AwA2,DeiT3Med,0.8140088319778442,0.8165878653526306,0.8152963519096375,48,24,16,10,"using 0,5 ft_weight",,
AwA2,DeiT3Med,0.8621217012405396,0.7926532030105591,0.8259293437004089,48,24,16,10,"using 0,5 ft_weight",,
AwA2,DeiT3Med,0.8741926550865173,0.7920132279396057,0.8310763239860535,48,24,16,10,"using 0,5 ft_weight",,
AwA2,DeiT3Med,0.8690924048423767,0.7240496277809143,0.7899684906005859,48,24,15,10,"using 0,5 ft_weight",,
AwA2,DeiT3Med,0.9369263052940369,0.8352746367454529,0.8831852078437805,64,21,21,10,using 2*loss_mean_attr,,
AwA2,DeiT3Med,0.9367562532424927,0.7866377234458923,0.8551588654518127,64,20,20,10,using 2*loss_mean_attr,,
AwA2,DeiT3Med,0.9357361197471619,0.8023806810379028,0.8639426231384277,64,21,21,10,using 2*loss_mean_attr,,
AwA2,DeiT3Med,0.8974838256835938,0.7670549750328064,0.8271593451499939,64,21,21,10,using 2*loss_mean_attr,,
AwA2,DeiT3Med,0.9389663934707642,0.840650200843811,0.8870925307273865,64,20,20,10,using 2*loss_mean_attr,,
AwA2,DeiT3Med,0.9670180678367615,0.46614620089530945,0.6290581226348877,32,11,11,10,using 2*loss_mean_attr,,
AwA2,DeiT3Med,0.9738184809684753,0.5120952725410461,0.6712204217910767,32,12,12,10,using 2*loss_mean_attr,,
AwA2,DeiT3Med,0.9719481468200684,0.4745936095714569,0.637769877910614,32,12,12,10,using 2*loss_mean_attr,,
AwA2,DeiT3Med,0.978069007396698,0.46704211831092834,0.6321997046470642,32,11,11,10,using 2*loss_mean_attr,,
AwA2,DeiT3Med,0.9685479402542114,0.46960192918777466,0.6325237154960632,32,11,11,10,using 2*loss_mean_attr,,
AwA2,DeiT3Med,0.9217950105667114,0.9047741293907166,0.9132052659988403,80,25,25,10,using 2*loss_mean_attr,,
AwA2,DeiT3Med,0.9136351943016052,0.9098939299583435,0.911760687828064,80,26,26,10,using 2*loss_mean_attr,,
AwA2,DeiT3Med,0.9139748811721802,0.8874951601028442,0.9005404114723206,80,25,25,10,using 2*loss_mean_attr,,
AwA2,DeiT3Med,0.9114249348640442,0.8680405020713806,0.8892037868499756,80,25,25,10,using 2*loss_mean_attr,,
AwA2,DeiT3Med,0.884903073310852,0.8977345824241638,0.8912726640701294,80,26,26,10,using 2*loss_mean_attr,,
,,,,,,,,,,,
Cars,DeiT3Med,0.8048176169395447,0.5050640106201172,0.6206429600715637,80,40,17,10,using loss_mean_attr,30 Epochs,"ft=0,7"
Cars,DeiT3Med,0.5522315502166748,0.7554966807365417,0.6380669474601746,80,40,27,10,using 3*loss_mean_attr,,
Cars,DeiT3Med,0.8004093766212463,0.6008567810058594,0.6864240765571594,80,32,28,10,using 2*loss_mean_attr,,ft=1
Cars,DeiT3Med,0.8488697409629822,0.5125331282615662,0.6391552090644836,80,25,25,10,using 2*loss_mean_attr,,
Cars,DeiT3Med,0.8175812363624573,0.4803296625614166,0.6051393747329712,80,27,27,10,using 2*loss_mean_attr,,
Cars,DeiT3Med,0.7928923964500427,0.5161718726158142,0.6252844333648682,80,26,26,10,using 2*loss_mean_attr,,
Cars,DeiT3Med,0.6992181539535522,0.6964284777641296,0.6978205442428589,128,41,41,10,using 2*loss_mean_attr,,
Cars,DeiT3Med,0.7329488396644592,0.697194516658783,0.7146247029304504,128,41,41,10,using 2*loss_mean_attr,,
Cars,DeiT3Med,0.7280905842781067,0.6880106925964355,0.7074835300445557,128,42,42,10,using 2*loss_mean_attr,,
Cars,DeiT3Med,0.6958483457565308,0.6949098110198975,0.6953787207603455,128,42,42,10,using 2*loss_mean_attr,,
,,,,,,,,,,,
GZSL No SAM,,,,,,,,,,,
CUB,DeiT3Med,0.8465405702590942,0.5271039605140686,0.6496802568435669,64,21,21,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.8081989884376526,0.6438727974891663,0.7167377471923828,80,26,26,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.8271257281303406,0.5941829085350037,0.6915654540061951,80,25,25,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.8016108870506287,0.7084487080574036,0.7521559596061707,80,25,25,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.818580150604248,0.5868511199951172,0.6836117506027222,80,26,26,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.8122255206108093,0.6607266068458557,0.7286849021911621,80,25,25,10,using 2*loss_mean_attr,,
,,,,,,,,,,,
AwA2,DeiT3Med,0.921115517616272,0.7980289459228516,0.8551658987998962,64,20,20,10,using 2*loss_mean_attr,,
AwA2,DeiT3Med,0.932165801525116,0.869064450263977,0.8995099067687988,64,20,20,10,using 2*loss_mean_attr,,
AwA2,DeiT3Med,0.9391364455223083,0.8083962798118591,0.8688758015632629,64,21,21,10,using 2*loss_mean_attr,,
AwA2,DeiT3Med,0.9625973105430603,0.6804044842720032,0.797266960144043,48,17,17,10,using 2*loss_mean_attr,,
AwA2,DeiT3Med,0.9600474238395691,0.704978883266449,0.8129759430885315,48,17,17,10,using 2*loss_mean_attr,,
AwA2,DeiT3Med,0.9631080031394958,0.5672597289085388,0.7139883637428284,48,16,16,10,using 2*loss_mean_attr,,
AwA2,DeiT3Med,0.9467865228652954,0.6473826169967651,0.7689688205718994,48,14,14,10,using 2*loss_mean_attr,,
AwA2,DeiT3Med,0.9534172415733337,0.6770767569541931,0.791829526424408,48,16,16,10,using 2*loss_mean_attr,,
,,,,,,,,,,,
OOD,,,,,,,,,,,
Datasets,Base OA,New OA,Base std,New std,,,,,,,
Cars,30.522573471069336,30.31756019592285,4.539723873138428,4.989941596984863,,,,,,,
AwA2,21.419923782348633,0.2998204231262207,4.681556701660156,1.2207890748977661,,,,,,,
SVHN,13.767354965209961,10.548672676086426,5.23765230178833,5.280383110046387,,,,,,,
